Title: A Catalog of Morphologically Identified Merging Galaxies
Authors: Hwang C.-Y., Chang M.-Y.
Table: Catalog of Merging Galaxies
================================================================================
Byte-by-byte Description of file: apjs299963t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label  Explanations
--------------------------------------------------------------------------------
   1-  5 I5     ---    ID     Running identification number
   7-  8 I2     h      RAh    Hour of Right Ascension (J2000)
  10- 11 I2     min    RAm    Minute of Right Ascension (J2000)
  13- 16 F4.1   s      RAs    Second of Right Ascension (J2000)
      18 A1     ---    DE-    Sign of the Declination (J2000)
  19- 20 I2     deg    DEd    Degree of Declination (J2000)
  22- 23 I2     arcmin DEm    Arcminute of Declination (J2000)
  25- 28 F4.1   arcsec DEs    Arcsecond of Declination (J2000)
  30- 36 A7     ---    FName  Field name
  38- 39 A2     ---    Type   Merging type (1)
--------------------------------------------------------------------------------
Note (1):
    M = mergers;
   CP = close pairs;
   CM = close multiples.
--------------------------------------------------------------------------------
00221 00 35 34.1 -01 48 38.4 RCS0047 CP
00222 00 35 34.1 -02 40 02.9 RCS0047 M
00223 00 35 34.3 -02 05 00.9 RCS0047 M
00224 00 35 35.2 +04 38 21.4 RCS0047 M
00225 00 35 35.2 +02 58 17.5 RCS0047 M
00226 00 35 36.0 -03 01 59.2 RCS0047 CP
00227 00 35 36.9 -03 31 23.4 RCS0047 M
00228 00 35 38.3 +02 12 22.1 RCS0047 M
00229 00 35 41.8 +03 52 21.7 RCS0047 M
00230 00 35 44.8 -03 02 33.0 RCS0047 M
00231 00 35 46.0 -03 20 46.6 RCS0047 M
00232 00 35 46.2 -02 14 57.6 RCS0047 CP
00233 00 35 46.5 -02 41 36.6 RCS0047 M
00234 00 35 46.6 -01 50 30.1 RCS0047 M
00235 00 35 46.7 +01 23 30.3 RCS0047 M
00236 00 35 46.9 +01 36 19.8 RCS0047 M
00237 00 35 47.0 +02 25 57.6 RCS0047 M
00238 00 35 47.9 +03 52 33.8 RCS0047 M
00239 00 35 48.7 +04 38 26.3 RCS0047 M
00240 00 35 48.9 -03 09 53.2 RCS0047 CP
00241 00 35 51.0 +04 56 16.2 RCS0047 M
00242 00 35 51.7 +04 35 24.6 RCS0047 M
00243 00 35 52.5 -01 59 29.7 RCS0047 M
00244 00 35 53.5 +02 53 54.8 RCS0047 M
00245 00 35 54.0 +02 45 03.2 RCS0047 CP
00246 00 35 54.5 -02 24 44.8 RCS0047 M
00247 00 35 56.0 -02 08 33.5 RCS0047 M
00248 00 35 56.2 +01 52 32.8 RCS0047 M
00249 00 35 57.4 -02 53 25.4 RCS0047 M
00250 00 35 57.8 +03 14 07.8 RCS0047 M
00251 00 35 58.3 +04 35 56.3 RCS0047 M
00252 00 35 58.5 +04 52 05.8 RCS0047 M
00253 00 35 59.6 +01 16 30.4 RCS0047 M
00254 00 35 59.7 +01 21 23.4 RCS0047 M
00255 00 36 00.7 +05 00 11.2 RCS0047 M
00256 00 36 01.5 -02 31 36.0 RCS0047 M
00257 00 36 01.7 +04 42 00.8 RCS0047 CP
